gene_id,module
evm.TU.Chr01.460,green
evm.TU.Chr01.447,green
evm.TU.Chr01.1790,red
evm.TU.Chr06.1115,red
evm.TU.Chr04.152,green
evm.TU.Chr01.1672,grey
evm.TU.ctg1.200,turquoise
evm.TU.Chr10.1070,turquoise
evm.TU.Chr03.577,brown
evm.TU.Chr09.610,brown
evm.TU.Chr04.1068,red
evm.TU.Chr09.1856,yellow
evm.TU.Chr10.1474,blue
evm.TU.Chr01.297_evm.TU.Chr01.298,blue
evm.TU.Chr10.1739,turquoise
evm.TU.Chr03.3526,brown
evm.TU.Chr05.2419,yellow
evm.TU.Chr05.956,green
evm.TU.Chr01.1198,turquoise
evm.TU.Chr03.2110,turquoise
evm.TU.Chr01.2191,turquoise
evm.TU.Chr01.680,red
evm.TU.Chr01.1197,turquoise
evm.TU.Chr01.3070,red
evm.TU.Chr05.3027,blue
evm.TU.Chr06.415,red
evm.TU.Chr04.2473,turquoise
evm.TU.Chr02.932,turquoise
evm.TU.Chr01.940,red
evm.TU.Chr10.126,grey
evm.TU.ctg1.335,turquoise
evm.TU.Chr08.2950,yellow
evm.TU.Chr05.2423,blue
evm.TU.Chr06.795,brown
evm.TU.Chr03.2566,grey
evm.TU.Chr01.1811,grey
evm.TU.Chr05.3196,turquoise
evm.TU.Chr10.1482,black
evm.TU.Chr10.1737,yellow
evm.TU.Chr07.1783,blue
evm.TU.Chr01.615,turquoise
evm.TU.Chr01.1479,yellow
evm.TU.Chr07.2364,turquoise
evm.TU.Chr01.696,yellow
evm.TU.Chr09.1585,green
evm.TU.Chr07.2124,grey
evm.TU.Chr01.3134,grey
evm.TU.Chr01.2832,brown
evm.TU.Chr10.159,brown
evm.TU.Chr01.2192,turquoise
evm.TU.Chr02.2276,turquoise
evm.TU.Chr05.2342,brown
evm.TU.Chr10.1701,grey
evm.TU.ctg2.57,yellow
evm.TU.Chr10.1611,red
evm.TU.Chr02.1588,turquoise
evm.TU.Chr07.2363,grey
evm.TU.Chr07.689,blue
evm.TU.Chr01.2809,yellow
evm.TU.Chr10.945,yellow
evm.TU.Chr09.1165,turquoise
evm.TU.Chr01.1094,brown
evm.TU.Chr04.3052,blue
